ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG,CODIGO,EMBALSE,X,Y,CAUCE,GOOGLE,OPENSTREETMAP,WIKIDATA,PROVINCIA,CCAA,TIPO,COTA_CORON,ALT_CIMIEN,INFORME,Unnamed: 16
553.0,GALICIA COSTA,A RIBEIRA,33.0,1.0,,,,,,,,,,,,,,,
530.0,TAJO,ACENA,24.0,0.0,,,,,,,,,,,,,,,
615.0,GUADALQUIVIR,AGRIO (AZNALCOLLAR),40.0,0.0,,,,,,,,,,,,,,,
562.0,GUADALQUIVIR,AGUASCEBAS,6.0,0.0,5230013.0,AGUASCEBAS,38.0435042350001,-2.95222543699992,ARROYO DE LAS AGUASCEBAS CHICO,,,,Jaén,Andalucía,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1549,
453.0,DUERO,AGUEDA,24.0,0.0,2370021.0,AGUEDA,40.529781939,-6.48161367799997,RÍO ÁGUEDA,,,,Salamanca,Castilla y León,Presa de fábrica de gravedad (hormigón vibrado),662.12,37.6,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=381,
121.0,DUERO,AGUILAR,247.0,0.0,,,,,,,,,,,,,,,
2340004.0,DUERO,AGUILAR DE CAMPOO,,,2340004.0,AGUILAR DE CAMPOO,42.7950910920001,-4.28734412199998,RÍO PISUERGA,,,,Palencia,Castilla y León,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=341,
2340003.0,DUERO,AGUILAR DE CAMPOO,,,2340003.0,AGUILAR DE CAMPOO,42.786753651,-4.29520395699996,,,,,Palencia,Castilla y León,Presa de materiales sueltos homogénea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=340,
2340001.0,DUERO,AGUILAR DE CAMPOO,,,2340001.0,AGUILAR DE CAMPOO,42.7890792490001,-4.29181674999995,,,,,Palencia,Castilla y León,Presa de materiales sueltos homogénea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=338,
374.0,GUADIANA,ALANGE,880.0,0.0,4060051.0,Alange Reservoir,38.7874608500001,-6.26830306899996,RIO MATACHEL,https://www.google.com/search?kgmid=/g/1226m0st,,https://www.wikidata.org/wiki/Q3379753,Badajoz,Extremadura,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=978,
646.0,JÚCAR,ALARCON,1118.0,0.0,8160006.0,Alarcón Reservoir,39.5643548690001,-2.11225016699996,RÍO JÚCAR,https://www.google.com/search?kgmid=/g/120z_bn_,,https://www.wikidata.org/wiki/Q3206248,Cuenca,Castilla - La Mancha,Presa de fábrica de gravedad (hormigón vibrado),814,67.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2281,
119.0,MIÑO - SIL,ALBARELLOS,91.0,1.0,1320039.0,ALBARELLOS,42.3997502070001,-8.19041297799993,RÍO AVIA,,,,Ourense,Galicia,Presa de fábrica de bóveda,267,90.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=124,
461.0,EBRO,ALBINA,6.0,0.0,,,,,,,,,,,,,,,
693.0,GUADALQUIVIR,ALCALA DEL RIO,21.0,1.0,,,,,,,,,,,,,,,
649.0,EBRO,ALCANIZ (ESTANCA),7.0,0.0,,,,,,,,,,,,,,,
348.0,TAJO,ALCANTARA,3162.0,1.0,,,,,,,,,,,,,,,
292.0,GUADIANA,ALCOLLARIN,52.0,0.0,,,,,,,,,,,,,,,
641.0,TAJO,ALCORLO,180.0,0.0,3190033.0,Alcorlo Reservoir,41.008581625,-3.02478278699994,RÍO BORNOBA,https://www.google.com/search?kgmid=/g/1230_4n6,,https://www.wikidata.org/wiki/Q5830397,Guadalajara,Castilla - La Mancha,Presa de materiales sueltos zonificada o de núcleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=768,
122.0,DUERO,ALDEADAVILA,115.0,1.0,2370034.0,Aldeadávila Reservoir,41.211678448,-6.68578589399993,RÍO DUERO,,,https://www.wikidata.org/wiki/Q43551868,Salamanca,Castilla y León,Presa de fábrica de arco-gravedad,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=394,
509.0,CANTÁBRICO OCCIDENTAL,ALFILORIOS,9.0,0.0,,,,,,,,,,,,,,,
306.0,SEGURA,ALFONSO XIII,22.0,0.0,7300041.0,ALFONSO XIII,38.2232084,-1.59952768299996,RÍO QUIPAR O RAMBLA MULLIDAR,,,,Murcia,Región de Murcia,Presa de fábrica de mampostería,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2077,
733.0,JÚCAR,ALGAR,6.0,0.0,8460012.0,ALGAR,39.787914266,-0.37682482699995,RIU PALANCIA,,,,València/Valencia,Comunitat Valenciana,Presa mixta,217,49.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2307,
593.0,SEGURA,ALGECIRAS,45.0,0.0,,,,,,,,,,,,,,,
600.0,EBRO,ALLOZ,84.0,0.0,9310010.0,ALLOZ,42.70627432,-1.94249903099995,RÍO SALADO,,,,Navarra,Comunidad Foral de Navarra,Presa de fábrica de bóveda,469.689999999999,66.7999999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2722,
249.0,DUERO,ALMENDRA,2649.0,1.0,2370031.0,Almendra Reservoir,41.2714941880001,-6.32020866599993,RÍO TORMES,,https://www.openstreetmap.org/relation/1613295,https://www.wikidata.org/wiki/Q43561654,Zamora,Castilla y León,Presa de fábrica de bóveda,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=391,
240.0,GUADALETE-BARBATE,ALMODOVAR,6.0,0.0,5110039.0,Embalse de Almodóvar,36.1536149680001,-5.64973106899993,RÍO ALMODÓVAR,,,https://www.wikidata.org/wiki/Q5369429,Cádiz,Andalucía,Presa de fábrica de gravedad (hormigón vibrado),107.2,40.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1364,
