ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG
1,GUADALQUIVIR,LA BRENA,103.0,0
3,GUADALQUIVIR,LA FERNANDINA,247.0,0
5,GUADALQUIVIR,PUEBLA DE CAZALLA,87.0,0
6,GUADALQUIVIR,PEDRO MARIN,19.0,0
9,CUENCA MEDITERRÁNEA ANDALUZA,LA VINUELA,170.0,0
11,CUENCA MEDITERRÁNEA ANDALUZA,RULES,111.0,0
12,GUADIANA,BURDALO,79.0,0
14,GUADIANA,LA CABEZUELA,43.0,0
18,MIÑO - SIL,CASTRELO,60.0,1
19,MIÑO - SIL,CENZA,40.0,1
22,MIÑO - SIL,VILASOUTO,21.0,0
24,TAJO,BURGUILLO - PUENTE NUEVO,217.0,0
26,TAJO,ENTREPENAS,886.0,0
29,TAJO,VALDEOBISPO,53.0,0
32,SEGURA,TALAVE,35.0,0
34,JÚCAR,ARENOS,137.0,0
36,JÚCAR,CORTES II,118.0,1
38,JÚCAR,CONTRERAS,874.0,0
40,JÚCAR,GUADALEST,13.0,0
42,JÚCAR,ULLDECONA,11.0,0
44,EBRO,BARASONA,92.0,0
46,EBRO,CALANDA,54.0,0
47,EBRO,CUEVA FORADADA,29.0,0
48,EBRO,CAVALLERS,16.0,1
50,EBRO,PUENTE DE SANTOLEA,18.0,0
51,EBRO,SAN SALVADOR,137.0,0
52,EBRO,URDALUR,6.0,0
54,EBRO,SISTEMA LAGOS ESPOT,10.0,1
55,EBRO,SOTONERA,189.0,0
58,CANTÁBRICO ORIENTAL,ORDUNTE,22.0,0
60,GUADALQUIVIR,CALA,59.0,1
61,GUADALQUIVIR,CANALES,71.0,0
64,GUADALQUIVIR,MALPASILLO ( JAUJA ),6.0,0
65,GUADALQUIVIR,QUENTAR,14.0,0
69,TINTO. ODIEL Y PIEDRAS,PIEDRAS,60.0,0
70,TINTO. ODIEL Y PIEDRAS,SANCHO,58.0,0
71,MIÑO - SIL,CHANDREXA,61.0,1
